"REF_DATE","GEO","DGUID","Estimates","Commodity","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","","F","","","0"
"2011","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","73","E","","","0"
"2012","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","","F","","","0"
"2013","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","81","","","","0"
"2014","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","79","","","","0"
"2015","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","","F","","","0"
"2016","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","94","E","","","0"
"2017","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","90","","","","0"
"2018","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","81","","","","0"
"2019","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","79","","","","0"
"2020","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","45","","","","0"
"2021","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","60","","","","0"
"2022","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","64","","","","0"
"2023","Saskatchewan","2016A000247","Area harvested (acres)","Fresh pumpkins [114221551]","Acres","28","units","0","v43974198","12.5.22","60","","","","0"
"2007","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","150","","","","0"
"2008","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","","x","","","0"
"2009","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","","F","","","0"
"2010","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","","F","","","0"
"2011","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","730","","","","0"
"2012","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","481","","","","0"
"2013","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","595","","","","0"
"2014","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","586","","","","0"
"2015","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","428","","","","0"
"2016","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","484","","","","0"
"2017","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","531","","","","0"
"2018","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","378","","","","0"
"2019","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","377","","","","0"
"2020","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","384","","","","0"
"2021","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","340","","","","0"
"2022","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","338","","","","0"
"2023","Saskatchewan","2016A000247","Marketed production (tons)","Fresh pumpkins [114221551]","Tons","291","units","0","v43974204","12.6.22","345","","","","0"
"2007","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","24","E","","","0"
"2008","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","16","","","","0"
"2009","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","","F","","","0"
"2010","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","","F","","","0"
"2011","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","30","E","","","0"
"2012","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","","F","","","0"
"2013","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","33","","","","0"
"2014","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","35","","","","0"
"2015","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","","F","","","0"
"2016","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","38","E","","","0"
"2017","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","36","","","","0"
"2018","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","34","","","","0"
"2019","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","33","","","","0"
"2020","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","18","","","","0"
"2021","Saskatchewan","2016A000247","Area planted (hectares)","Fresh pumpkins [114221551]","Hectares","149","units","0","v52152556","12.7.22","24","","","","0"
